Go.	Va !
He looks gloomy.	Il a l'air sombre.
He looks strong.	Il semble fort.
He lost his job.	Il a perdu son travail.
He lost his job.	Il perdit son emploi.
He loves coffee.	Il adore le café.
He loves soccer.	Il adore le foot.
He loves trains.	Il adore les trains.
He made a robot.	Il a fait un robot.
He made her cry.	Il l'a fait pleurer.
He made her cry.	Il la fit pleurer.
He made me sing.	Il m'a fait chanter.
He may be there.	Peut-être s'y trouve-t-il.
He may not come.	Il pourrait ne pas venir.
He mentioned it.	Il le mentionna.
He mentioned it.	Il l'a mentionné.
He mentioned it.	Il la mentionna.
He mentioned it.	Il l'a mentionnée.
He missed class.	Il a manqué la classe.
He never laughs.	Il ne rit jamais.
He plays soccer.	Il joue au football.
He puts on airs.	Il prend des airs.
He said nothing.	Il ne dit rien.
He said nothing.	Il n'a rien dit.
He sang off key.	Il a chanté faux.
He saved us all.	Il nous a tous sauvés.
He saved us all.	Il nous a toutes sauvées.
He saved us all.	Il nous sauva tous.
He saved us all.	Il nous sauva toutes.
He saw the girl.	Il a vu la fille.
He saw the girl.	Il vit la fille.
He seems honest.	Il semble être honnête.
He sells whisky.	Il vend du whisky.
He sounds angry.	Il a l'air en colère.
He stared at me.	Il me fixa.
He studied hard.	Il étudiait avec application.
He studied hard.	Il étudia avec application.
He swindled her.	Il l'a escroquée.
He was cheating.	Il était en train de tricher.
He was outraged.	Il était indigné.
He was outraged.	Il était outré.
He was standing.	Il se tenait debout.
He was very fun.	Il était très amusant.
He was very fun.	Il était fort amusant.
He was very old.	Il était fort vieux.
He went surfing.	Il est allé faire du surf.
He will also go.	Il ira aussi.
He will also go.	Il ira également.
He will survive.	Il survivra.
He wore glasses.	Il portait des lunettes.
He writes books.	Il écrit des livres.
He's a bad liar.	Il ment mal.
He's a comedian.	Il est comédien.
He's a frat boy.	Il est membre d'une fraternité étudiante.
He's a freshman.	C'est un bizuth.
He's a freshman.	C'est un bleu.
He's a gardener.	Il est jardinier.
He's a good boy.	C'est un bon garçon.
He's a newcomer.	C'est un nouveau venu.
He's a real man.	C'est un vrai mec.
He's a slowpoke.	C'est un lambin.
He's a slowpoke.	C'est un lourdaud.
He's a southpaw.	C'est un gaucher.
He's a southpaw.	Il est gaucher.
He's going bald.	Il devient chauve.
He's helping me.	Il m'aide.
He's my husband.	Il est mon époux.
He's my partner.	C'est mon associé.
He's my partner.	C'est mon compagnon.
He's my partner.	C'est mon partenaire.
He's not a hero.	Ce n'est pas un héros.
He's not a liar.	Ce n'est pas un menteur.
He's not in yet.	Il n'est pas encore là.
He's not stupid.	Il n'est pas idiot.
He's on his way.	Il est en route.
He's on his way.	Il est en chemin.
He's photogenic.	Il est photogénique.
He's right here.	Il est juste là.
He's wide awake.	Il est tout à fait éveillé.
Help me, please.	Aide-moi, s'il te plait.
Help us, please.	Aidez-nous, je vous prie !
Help us, please.	Aide-nous, je te prie !
Help us, please.	Aide-nous, je t'en prie !
Help us, please.	Aidez-nous, je vous en prie !
Her father died.	Son père mourut.
Her father died.	Son père décéda.
Here I am again.	Me revoilà.
Here I am again.	Me voici à nouveau.
Here is the map.	Voici la carte !
Here's the bill.	Voici la note.
Here's the bill.	Voici la facture.
Here, take this.	Voilà, prends ceci !
Here, take this.	Voilà, prenez ceci !
Hi! How are you?	Salut ! Comment ça va ?
His ID was fake.	Sa carte d'identité était falsifiée.
His name is mud.	Il a mauvaise réputation.
His son is sick.	Son fils est malade.
His word is law.	Sa parole est la loi.
His word is law.	Sa parole est loi.
Hold on, please.	Restez en ligne, s'il vous plaît.
Horses run fast.	Un cheval court vite.
How about 12:45?	Que dirais-tu de midi quarante-cinq ?
How about 12:45?	Que diriez-vous d'une heure moins le quart ?
How are you all?	Comment allez-vous tous ?
How are you now?	Comment vas-tu maintenant ?
How are you now?	Comment allez-vous maintenant ?
How big you are!	Qu'est-ce que tu es grand !
How big you are!	Comme tu es grand !
How big you are!	Que tu es grand !
How big you are!	Que vous êtes grand !
How big you are!	Que vous êtes grande !
How big you are!	Que vous êtes grandes !
How big you are!	Que vous êtes grands !
How big you are!	Que tu es grande !
How big you are!	Comme tu es grande !
How big you are!	Comme vous êtes grandes !
How big you are!	Comme vous êtes grande !
How big you are!	Comme vous êtes grands !
How big you are!	Comme vous êtes grand !
How can that be?	Comment cela se peut-il ?
How can this be?	Comment cela se peut-il ?
How can we tell?	Comment pouvons-nous le dire ?
How could it be?	Comment cela se pourrait-il ?
How could it be?	Comment ce pourrait-il être ?
How did it feel?	Qu'as-tu ressenti ?
How did it feel?	Qu'avez-vous ressenti ?
How do you know?	Comment savez-vous ?
How interesting!	Comme c'est intéressant !
How interesting!	Comme c'est intéressant !
How is everyone?	Comment va tout le monde ?
How is it going?	Comment cela se passe-t-il ?
How is your dad?	Comment va ton papa ?
How is your dad?	Comment va votre papa ?
How is your dad?	Comment va ton père ?
How nice of you!	Comme c'est chic de ta part !
How old are you?	Quel âge as-tu ?
How old are you?	Quel âge avez-vous ?
How rude of you!	C'est grossier de votre part !
How'd you do it?	Comment avez-vous fait ?
How's the water?	Comment est l'eau ?
How's your cold?	Comment va votre rhume ?
How's your cold?	Comment va ton rhume ?
How's your wife?	Comment va ta femme ?
How's your wife?	Comment se porte votre épouse ?
How's your wife?	Comment se porte ta femme ?
How's your wife?	Comment va ta femme ?
Hurry up, girls.	Maniez-vous, les filles !
Hurry up, girls.	Magnez-vous, les filles !
Hurry up, girls.	Dépêchez-vous, les filles !
Hurry up, girls.	Grouillez-vous, les filles !
Hurry up, girls.	Pressons, les filles !
Hurry up, girls.	On se dépêche, les filles !
Hurry up, girls.	On se grouille, les filles !
Hurry up, girls.	On se magne, les filles !
Hurry up, girls.	On se secoue, les filles !
Hurry up, girls.	Secouez-vous, les filles !
Hurry up, girls.	Bougez vos fesses, les filles !
Hurry up, girls.	Bougez-vous les fesses, les filles !
Hypnotism works.	L'hypnose, ça marche.
I abhor spiders.	J'ai horreur des araignées.
I ache all over.	Mon corps me fait mal.
I ache all over.	J'ai mal partout.
I almost did it.	Je l'ai presque fait.
I am a Japanese.	Je suis Japonais.
I am a bachelor.	Je suis célibataire.
I am a good boy.	Je suis un bon garçon.
I am busy today.	Je suis occupé aujourd’hui.
I am from Egypt.	Je viens d'Égypte.
I am in trouble.	Je suis dans le pétrin.
I am in trouble.	Je suis mal barré.
I am in trouble.	Je suis mal barrée.
I am not eating.	Je ne suis pas en train de manger.
I am undressing.	Je me déshabille.
I am undressing.	Je me dévêts.
I am very sorry.	Je suis vraiment désolé.
I am very tired.	Je suis très fatigué.
I amused myself.	Je me suis amusé.
I amused myself.	Je me suis amusée.
I appreciate it.	Je l'apprécie.
I appreciate it.	J'apprécie.
I baked cookies.	J'ai confectionné des biscuits.
I beg to differ.	Je ne suis pas d'accord.
I beg to differ.	Je suis désolé, mais je ne peux pas être d'accord.
I believed that.	J'y ai cru.
I bit my tongue.	Je me suis mordu la langue.
I booked a seat.	J’ai réservé une place.
I bought a book.	J'ai acheté un livre.
I broke a glass.	J'ai cassé un verre.
I called Tom up.	J'ai passé un coup de fil à Tom.
I called her up.	Je l'ai appelée.
I called him up.	Je lui ai téléphoné.
I can do it now.	Je peux le faire maintenant.
I can drive you.	Je peux te conduire.
I can handle it.	Je peux y arriver.
I can handle it.	Je peux m'en sortir.
I can swim fast.	Je sais nager rapidement.
I can swim well.	Je sais bien nager.
I can't be sure.	Je ne saurais en être certain.
I can't bear it.	Je ne peux pas le supporter.
I can't bear it.	Je n'arrive pas à le supporter.
I can't breathe.	Je n'arrive pas à respirer.
I can't breathe.	Je ne parviens pas à respirer.
I can't compete.	Je ne peux pas me mesurer.
I can't do that.	Je n'arrive pas à faire ça.
I can't do that.	Je n'y arrive pas.
I can't do that.	Je n'arrive pas à le faire.
I can't fake it.	Je ne peux pas le simuler.
I can't feel it.	Je ne le ressens pas.
I can't feel it.	Je ne parviens pas à le percevoir.
I can't feel it.	Je ne le perçois pas.
I can't find it.	Je n'arrive pas à le trouver.
I can't find it.	Je n'arrive pas à la trouver.
I can't give up.	Je ne peux pas m'arrêter.
I can't give up.	Je n'arrive pas à arrêter.
I can't give up.	Je ne peux pas me rendre.
I can't give up.	Je ne peux pas admettre ma défaite.
I can't give up.	Je ne parviens pas à admettre ma défaite.
I can't help it.	Je ne peux pas m'en empêcher.
I can't keep it.	Je ne peux le garder.
I can't let you.	Je ne peux pas te le permettre.
I can't let you.	Je ne peux pas vous le permettre.
I can't make it.	Je n'y parviens pas.
I caught a cold.	J'ai attrapé un rhume.
I caught a cold.	J'ai contracté un rhume.
I caught a cold.	Je contractai un rhume.
I chickened out.	J'ai eu les foies.
I chickened out.	J'ai pris peur.
I cooked dinner.	J'ai préparé à dîner.
I could be next.	Je pourrai être le prochain.
I couldn't walk.	Je ne pouvais pas marcher.
I couldn't walk.	Je ne pourrais pas marcher.
I cry every day.	Je pleure chaque jour.
I dealt with it.	J'en ai fait mon affaire.
I deserved that.	Je méritais ça.
I did it anyway.	Je l'ai fait quand même.
I did it myself.	Je l'ai fait moi-même.
I did it myself.	Je l'ai fait par moi-même.
I did that once.	Je l'ai fait une fois.
I didn't forget.	Je n'ai pas oublié.
I didn't listen.	Je n'ai pas écouté.
I didn't notice.	Je n'ai pas remarqué.
I didn't say it.	Je ne l'ai pas dit.
I didn't scream.	Je n'ai pas hurlé.
I didn't see it.	Je ne l'ai pas vu.
I didn't shower.	Je n'ai pas pris de douche.
I disobeyed you.	Je vous ai désobéi.
I disobeyed you.	Je t'ai désobéi.
I do that a lot.	Je le fais beaucoup.
I do understand.	Je comprends réellement.
I don't mind it.	Ça ne me dérange pas.
I don't need it.	Je n'en ai pas besoin.
I don't see how.	Je ne vois pas comment.
I don't see how.	Je ne vois pas de quelle manière.
I don't want it.	Je ne le veux pas.
I don't want it.	Je n'en veux pas.
I downloaded it.	Je l'ai téléchargé.
I downloaded it.	Je l'ai téléchargée.
I dried my face.	Je me suis séché le visage.
I drive to work.	Je me rends au travail en voiture.
I enjoy reading.	J'aime lire.
I enjoy reading.	J'ai plaisir à lire.
I enjoy working.	Je prends plaisir à travailler.
I escaped death.	J'ai échappé à la mort.
I expected more.	Je m'attendais à plus.
I expected this.	Je m'attendais à ça.
I feel betrayed.	Je me sens trahie.
I feel betrayed.	Je me sens trahi.
I feel feverish.	Je me sens fiévreux.
I feel feverish.	Je me sens fiévreuse.
I feel fine now.	Je me sens bien, maintenant.
I feel his pain.	Je compatis à sa douleur.
I feel homesick.	J'ai le mal du pays.
I feel horrible.	Je me sens super mal.
I feel nauseous.	J'ai la nausée.
I feel relieved.	Je me sens soulagé.
I feel terrible.	Je me sens super mal.
I feel terrific.	Je me sens en pleine forme.
I feel the same.	Je ressens la même chose.
I felt betrayed.	Je me suis sentie trahie.
I felt betrayed.	Je me suis senti trahi.
I felt isolated.	Je me sentis isolé.
I felt isolated.	Je me suis senti isolé.
I felt left out.	Je me suis senti délaissé.
I felt left out.	Je me suis sentie délaissée.
I felt left out.	Je me sentis exclu.
I felt left out.	Je me sentis exclue.
I felt left out.	Je me suis senti exclu.
I felt left out.	Je me suis senti exclue.
I finished last.	J'ai terminé dernier.
I finished last.	J'ai terminé dernière.
I fired the gun.	Je fis détoner l'arme.
I follow orders.	J'obéis aux ordres.
I forgot my bag.	J'ai oublié mon sac.
I forgot my key.	J'ai oublié ma clé.
I forgot my pen.	J'ai oublié mon stylo.
I get up at six.	Je me lève à 6 heures.
I go every year.	J'y vais tous les ans.
I got a bargain.	J'ai fait une affaire.
I got no answer.	Je n'ai pas obtenu de réponse.
I got remarried.	Je me suis remarié.
I got remarried.	Je me suis remariée.
I got rid of it.	Je m'en suis débarrassé.
I got rid of it.	Je m'en suis débarrassée.
I got rid of it.	Je m'en débarrassai.
I got sunburned.	J'ai pris un coup de soleil.
I grow tomatoes.	Je cultive des tomates.
I guess it's OK.	J'imagine que ça va.
I guess it's OK.	J'imagine que c'est bon.
I guessed right.	J'ai bien deviné.
I guessed right.	J'ai deviné correctement.
I had a seizure.	J'ai eu une attaque cardiaque.
I had a seizure.	J'ai eu une attaque.
I had my doubts.	J'ai eu mes doutes.
I had no choice.	Je n'avais pas le choix.
I had no doubts.	Je n'avais aucun doute.
I had no doubts.	Je n'eus aucun doute.
I had no doubts.	Je n'ai eu aucun doute.
I had no doubts.	Je n'ai rien flairé.
I had some help.	J'ai reçu de l'aide.
I had to resign.	Je dus démissionner.
I hate children.	Je déteste les enfants.
I hate everyone.	Je déteste tout le monde.
I hate fanatics.	Je déteste les fanatiques.
I hate fanatics.	J'ai horreur des fanatiques.
I hate fighting.	Je déteste la bagarre.
I hate funerals.	J'ai horreur des obsèques.
I hate my voice.	Je déteste ma voix.
I hate politics.	Je déteste la politique.
I hate reptiles.	J'ai horreur des reptiles.
I hate shopping.	Je déteste faire des courses.
I hate studying.	Je déteste étudier.
I hate that guy.	Je déteste ce type.
I hate that guy.	Je déteste ce mec.
I hate them all.	Je les déteste tous.
I hate them all.	Je les déteste toutes.
I hate this car.	Je déteste cette voiture.
I hate this car.	Je déteste cette bagnole.
I hate this job.	Je déteste ce boulot.
I hate this job.	Moi je déteste ce boulot.
I hate this rug.	Je déteste ce tapis.
I hate violence.	Je déteste la violence.
I hate weddings.	Je déteste les mariages.
I hate you both.	Je vous déteste tous les deux.
I hate you both.	Je vous déteste toutes les deux.
I have a bruise.	J'ai un bleu.
I have a bruise.	J'ai une ecchymose.
I have a sister.	J'ai une sœur.
I have children.	J'ai des enfants.
I have children.	Je dispose d'enfants.
I have diabetes.	Je suis diabétique.
I have evidence.	Je dispose de preuves.
I have evidence.	J'ai des preuves.
I have finished.	J'ai terminé.
I have finished.	J'en ai terminé.
I have finished.	J'ai fini.
I have homework.	J'ai des devoirs.
I have immunity.	Je dispose de l'immunité.
I have no fever.	Je n'ai pas de fièvre.
I have no horse.	Je ne dispose pas de cheval.
I have returned.	Je suis revenu.
I have the keys.	J'ai les clés.
I have to fight.	Il me faut me battre.
I have to fight.	Je dois me battre.
I have to hurry!	Je dois me dépêcher !
I have to hurry!	Il faut que je me dépêche !
I have to hurry!	Je suis pressé !
I have to study.	Je dois étudier.
I have to think.	Il me faut réfléchir.
I have to think.	Je dois réfléchir.
I have two cats.	J'ai deux chats.
I have two jobs.	J'ai deux boulots.
I haven't eaten.	Je n'ai pas mangé.
I haven't slept.	Je n'ai pas dormi.
I haven't tried.	Je n'ai pas essayé.
I hear laughing.	J'entends qu'on rit.
I heard a noise.	J'ai entendu un bruit.
I heard screams.	J'ai entendu des hurlements.
I heard yelling.	J'ai entendu hurler.
I hope Tom wins.	J'espère que Tom gagnera.
I hope it helps.	J'espère que c'est utile.
I hope it rains.	J'espère qu'il pleuvra.
I imagined that.	Je l'avais imaginé.
I just finished.	Je viens de terminer.
I just found it.	Je viens de le trouver.
I just got here.	Je viens d'arriver ici.
I just got that.	Je viens de recevoir ça.
I just miss him.	Il me manque, tout simplement.
I just panicked.	J'ai simplement paniqué.
I just showered.	Je viens de prendre une douche.
I just showered.	J'ai simplement pris une douche.
I just told him.	Je viens de lui dire.
I just told him.	Je viens de le lui dire.
I knew the risk.	Je connaissais le risque.
I knew too much.	J'en savais trop.
I knew we'd win.	Je savais que nous l'emporterions.
I knew we'd win.	Je savais que nous gagnerions.
I know Tom lied.	Je sais que Tom a menti.
I know all that.	Je sais tout ça.
I know all that.	Je sais tout cela.
I know all this.	Je sais tout ceci.
I know her well.	Je la connais bien.
I know the girl.	Je connais cette fille.
I know them all.	Je les connais tous.
I know your son.	Je connais votre fils.
I know your son.	Je connais ton fils.
I laughed a lot.	J'ai beaucoup ri.
I lay on my bed.	Je me suis allongé sur mon lit.
I lay on my bed.	J'étais étendu sur mon lit.
I lay on my bed.	J'étais étendue sur mon lit.
I learned a lot.	J'ai beaucoup appris.
I left the room.	J'ai quitté la pièce.
I lent him a CD.	Je lui ai prêté un CD.
I lied about it.	J'ai menti à ce sujet.
I like baseball.	Je joue au baseball.
I like cartoons.	J'aime les dessins animés.
I like children.	J'apprécie les enfants.
I like old cars.	J'aime les vieilles voitures.
I like sleeping.	J'aime dormir.
I like swimming.	J'aime nager.
I like teaching.	J'aime enseigner.
I like that job.	J'apprécie ce boulot.
I like the cold.	J'aime le froid.
I like them all.	Je les aime tous.
I like this job.	J'aime ce boulot.
I like this one.	J‘aime celui-ci.
I like to dream.	J'aime rêver.
I like to laugh.	J'aime rire.
I like your car.	J'aime votre voiture.
I like your car.	J'aime votre auto.
I like your car.	J'aime ta voiture.
I like your dog.	J'aime ton chien.
I like your dog.	J'aime votre chien.
I like your hat.	J'aime ton chapeau.
I like your hat.	J'aime votre chapeau.
I like your tie.	J'aime votre cravate.
I like your tie.	Ta cravate me plaît.
I like your tie.	J'aime ta cravate.
I lit the match.	Je craquai l'allumette.
I lit the match.	J'enflammai l'allumette.
I lit the match.	J'ai craqué l'allumette.
I lit the match.	J'ai enflammé l'allumette.
I live here now.	Je vis ici, désormais.
I live here now.	Je vis ici, à l'heure actuelle.
I live in Hyogo.	Je vis à Hyogo.
I live in Japan.	Je vis au Japon.
I live in Milan.	Je vis à Milan.
I live in Tokyo.	Je vis à Tôkyô.
I live in Tokyo.	Je vis à Tokyo.
I lost interest.	Mon intérêt s'est dissipé.
I lost my phone.	J'ai perdu mon téléphone.
I lost my watch.	J’ai perdu ma montre.
I love barbecue.	J'adore les barbecues.
I love comedies.	J'adore les comédies.
I love eggplant.	J'adore les aubergines.
I love swimming.	J'adore nager.
I love teaching.	J'adore enseigner.
I love this car.	J'adore cette voiture.
I love this job.	J'adore ce boulot.
I love this one.	J'adore celui-ci.
I love to party.	J'adore faire la fête.
I love to party.	J'adore faire la nouba.
I love to party.	J'adore faire la java.
I love to teach.	J'adore enseigner.
I love weddings.	J'adore les mariages.
I love you both.	Je vous adore tous les deux.
I love you both.	Je vous aime tous les deux.
I love you both.	Je vous aime toutes les deux.
I love you guys.	Les mecs, je vous aime.
I love you guys.	Les mecs, je vous adore.
I love your car.	J'aime votre voiture.
I love your son.	J'adore ton fils.
I love your son.	J'adore votre fils.
I love your son.	Je suis amoureuse de ton fils.
I love your son.	Je suis amoureuse de votre fils.
I made brownies.	J'ai confectionné du moelleux au chocolat.
I made that one.	J'ai fait celle-là.
I made that one.	J'ai confectionné celle-là.
I made that one.	J'ai réalisé celle-là.
I made the deal.	J'ai conclu le contrat.
I meant no harm.	Je n'avais pas de mauvaise intention.
I meant no harm.	Je ne pensais pas à mal.
I met Tom there.	J'ai rencontré Tom là-bas.
I might say yes.	Il se pourrait que je dise oui.
I miss all this.	Tout ceci me manque.
I missed supper.	J'ai loupé le dîner.
I missed supper.	J'ai loupé le souper.
I misunderstood.	J'ai compris de travers.
I misunderstood.	J'ai mal compris.
I motivated you.	Je t'ai motivé.
I motivated you.	Je t'ai motivée.
I must be blind.	Je dois être aveugle.
I must be blind.	Il faut que je sois aveugle.
I must be blind.	Faut-il que sois aveugle !
I must continue.	Il me faut continuer.
I must continue.	Je dois continuer.
I must go alone.	Je dois y aller seul.
I must go alone.	Je dois y aller seule.
I must go alone.	Je dois m'y rendre seul.
I must go alone.	Je dois m'y rendre seule.
I must go alone.	Il me faut y aller seul.
I must go alone.	Il me faut y aller seule.
I must go alone.	Il faut que j'y aille seul.
I must go alone.	Il faut que j'y aille seule.
I must go alone.	Il faut que je m'y rende seul.
I must go alone.	Il faut que je m'y rende seule.
I must help you.	Je dois vous aider.
I must help you.	Je dois t'aider.
I need Internet.	J'ai besoin d'Internet.
I need a doctor.	J'ai besoin d'un médecin.
I need a doctor.	Il me faut un médecin.
I need a hammer.	J'ai besoin d'un marteau.
I need a laptop.	J'ai besoin d'un ordinateur portable.
I need a lawyer.	J'ai besoin d'un avocat.
I need a pencil.	J'ai besoin d'un crayon.
I need a weapon.	J'ai besoin d'une arme.
I need caffeine.	Il me faut de la caféine.
I need guidance.	J'ai besoin de conseils.
I need help now.	C'est maintenant que j'ai besoin d'aide.
I need his help.	J'ai besoin de son aide.
I need it today.	Il me le faut aujourd'hui.
I need it today.	J'en ai besoin aujourd'hui.
I need the keys.	Il me faut les clefs.
I need the keys.	J'ai besoin des clés.
I need to shave.	J'ai besoin de me raser.
I need to sleep.	J'ai besoin de dormir.
I need to study.	J'ai besoin d'étudier.
I need you here.	J'ai besoin de toi ici.
I need you here.	J'ai besoin de vous ici.
I never noticed.	Je n'ai jamais remarqué.
I never said no.	Je n'ai jamais dit non.
I never saw you.	Je ne t'ai jamais vu.
I never saw you.	Je ne t'ai jamais vue.
I never saw you.	Je ne vous ai jamais vu.
I never saw you.	Je ne vous ai jamais vue.
I never saw you.	Je ne vous ai jamais vus.
I never saw you.	Je ne vous ai jamais vues.
I often see him.	Je le rencontre souvent.
I only need one.	Je n'en ai besoin que d'un.
I ordered pizza.	J'ai commandé de la pizza.
I outwitted him.	J'ai été plus malin que lui.
I outwitted him.	J'ai été plus maline que lui.
I owe you a lot.	Je vous dois beaucoup.
I owe you a lot.	Je te dois beaucoup.
I paid for them.	J'ai payé pour eux.
I paid for them.	J'ai payé pour elles.
I paid my bills.	J'ai réglé mes factures.
I paid the bill.	Je réglais l'addition.
I paid the bill.	J'ai payé l'addition.
I played tennis.	Je jouais au tennis.
I prefer biking.	Je préfère faire du vélo.
I prefer coffee.	Je préfère le café.
I raise orchids.	Je cultive des orchidées.
I ran for mayor.	Je me suis présenté comme maire.
I ran for mayor.	Je me suis présenté comme mayeur.
I ran for mayor.	Je me suis présenté comme maïeur.
I ran for mayor.	Je me suis présenté comme bourgmestre.
I rang the bell.	Je fis sonner la cloche.
I rang the bell.	Je fis résonner la cloche.
I rang the bell.	J'ai fait sonner la cloche.
I rang the bell.	J'ai fait résonner la cloche.
I rang the bell.	J'ai fait retentir la cloche.
I rang the bell.	Je fis retentir la cloche.
I read his book.	Je lis son livre.
I read the book.	J'ai lu le livre.
I relied on him.	J'ai compté sur lui.
I remember that.	Je me souviens de ça.
I remember that.	Je me souviens de cela.
I remember them.	Je me souviens d'eux.
I remember them.	Je me souviens d'elles.
I remember this.	Je m'en souviens.
I remembered it.	Je m'en souvenais.
I remembered it.	Je m'en souvins.
I run every day.	Je cours tous les jours.
I said I'm fine.	J'ai dit que j'allais bien.
I saw Tom naked.	J'ai vu Tom nu.
I saw her again.	Je la vis de nouveau.
I saw him do it.	Je l'ai vu le faire.
I saw him naked.	Je le vis nu.
I saw him naked.	Je l'ai vu nu.
I saw him there.	Je l'y ai vu.
I saw it coming.	Je l'ai pressenti.
I saw something.	Je vis quelque chose.
I saw something.	J'ai vu quelque chose.
I saw the movie.	Je vis le film.
I saw the movie.	J'ai vu le film.
I saw you there.	Je vous y ai vu.
I saw you there.	Je vous y ai vue.
I saw you there.	Je vous y ai vus.
I saw you there.	Je vous y ai vues.
I saw you there.	Je t'y ai vu.
I saw you there.	Je t'y ai vue.
I see a pattern.	Je vois un motif qui se répète.
I see his house.	Je vois sa maison.
I see something.	Je vois quelque chose.
I slept all day.	Je dormis tout le jour.
I slept all day.	J'ai dormi toute la journée.
I smell trouble.	Je sens les ennuis arriver.
I smelled bacon.	J'ai senti les poulets.
I still do that.	Je le fais toujours.
I still do that.	Je le fais encore.
I study English.	J'étudie l'anglais.
I take vitamins.	Je prends des vitamines.
I talked to her.	Je lui parlai.
I talked to her.	Je lui ai parlé.
I teach Chinese.	J’enseigne le chinois.
I think I agree.	Je pense être d'accord.
I think it's OK.	Je pense que ça va.
I think it's OK.	Je pense que c'est bon.
I think it's OK.	Je pense que ça colle.
I think so, too.	Je le pense aussi.
I think so, too.	Oui, je le pense aussi.
I totally agree.	Je suis totalement d'accord.
I turned it off.	Je l'ai éteint.
I turned it off.	Je l'ai éteinte.
I understand it.	Je le comprends.
I use this desk.	J'emploie ce bureau-ci.
I want a doctor.	Je veux un médecin.
I want a family.	Je veux une famille.
I want a lawyer.	Je veux un avocat.
I want a refund.	Je veux un remboursement.
I want a refund.	Je veux me faire rembourser.
I want children.	Je veux des enfants.
I want my money.	Je veux mon argent.
I want my stuff.	Je veux mes trucs.
I want one, too.	J'en veux une aussi.
I want one, too.	J'en veux un aussi.
I want that bag.	Je veux ce sac.
I want that cat.	Je veux ce chat.
I want that job.	Je veux ce boulot.
I want the best.	Je veux le meilleur.
I want this bag.	Je veux ce sac.
I want this cat.	Je veux ce chat.
I want to dance.	Je veux danser.
I want to do it.	Je veux le faire.
I want to dream.	Je veux rêver.
I want to drink.	Je veux boire.
I want to drive.	Je veux conduire.
I want to fight.	Je veux combattre.
I want to fight.	Je veux me battre.
I want to sleep.	Je veux dormir.
I want to speak.	Je veux parler.
I want to watch.	Je veux regarder.
I want you back.	Je veux que tu sois revenu.
I want you back.	Je veux que tu sois revenue.
I want you back.	Je veux que vous soyez revenus.
I want you back.	Je veux que vous soyez revenues.
I want you back.	Je veux que vous soyez revenue.
I want you back.	Je veux que vous soyez revenu.
I wanted to die.	Je voulais mourir.
I wanted to pay.	Je voulais payer.
I was a teacher.	J’étais professeur.
I was a teacher.	J'étais professeur.
I was assaulted.	On m'a attaqué.
I was born here.	Je suis né ici.
I was born here.	Je suis née ici.
I was concerned.	J'étais préoccupé.
I was concerned.	J'étais préoccupée.
I was convicted.	J'ai été condamné.
I was convicted.	J'ai été condamnée.
I was disgusted.	J'étais dégoûté.
I was disgusted.	J'étais dégoûtée.
I was disgusted.	J'ai été dégoûté.
I was disgusted.	J'ai été dégoûtée.
I was dismissed.	J'ai été licencié.
I was dismissed.	On m'a licencié.
I was exhausted.	J'étais épuisé.
I was horrified.	J'ai été horrifié.
I was horrified.	J'ai été horrifiée.
I was horrified.	J'étais horrifié.
I was horrified.	J'étais horrifiée.
I was horrified.	Je fus horrifié.
I was horrified.	Je fus horrifiée.
I was impressed.	J'ai été impressionné.
I was impressed.	J'ai été impressionnée.
I was in charge.	C'était moi le responsable.
I was in charge.	C'était moi la responsable.
I was kidnapped.	J'ai été kidnappé.
I was kidnapped.	J'ai été kidnappée.
I was not drunk.	Je n’étais pas saoul.
I was on patrol.	J'étais en patrouille.
I was petrified.	J'étais pétrifié.
I was satisfied.	J'étais satisfait.
I was satisfied.	J'étais satisfaite.
I was skeptical.	J'étais sceptique.
I was surprised.	Je fus surpris.
I was terrified.	J'étais terrifié.
I was too small.	J'étais trop petit.
I wasn't asleep.	Je n'étais pas assoupi.
I wasn't asleep.	Je n'étais pas assoupie.
I wasn't joking.	Je n'étais pas en train de plaisanter.
I went for help.	Je suis parti quérir de l'aide.
I went for help.	Je suis partie quérir de l'aide.
I went to Paris.	Je suis allée à Paris.
I will continue.	Je continuerai.
I will go at 10.	Je vais aller à 10 heures.
I will help you.	Je t'aiderai.
I will help you.	Je vous aiderai.
I will kill you.	Je vais te tuer.
I will miss you.	Tu vas me manquer.
I will stop you.	Je t'arrêterai.
I will stop you.	Je vous arrêterai.
I will warn him.	Je l'avertirai.
I will watch it.	Je le regarderai.
I wish you luck.	Je vous souhaite bonne chance.
I wish you luck.	Je te souhaite bonne chance.
I won't be late.	Je ne serai pas en retard.
I won't be long.	Je ne serai pas parti longtemps.
I won't buy one.	Je n'en achèterai pas.
I won't risk it.	Je ne vais pas le risquer.
I work at a zoo.	Je travaille dans un zoo.
I work in Milan.	Je travaille à Milan.
I work two jobs.	J'effectue deux boulots.
I work with him.	Je travaille avec lui.
I wouldn't care.	Je n'en aurais rien à faire.
I wouldn't care.	Je m'en ficherais.
I wouldn't care.	Ça me serait égal.
I wouldn't care.	Je ne m'en préoccuperais pas.
I yelled at Tom.	J'ai crié sur Tom.
I'd be grateful.	Je serais reconnaissant.
I'd be grateful.	Je serais reconnaissante.
I'd do it again.	Je le referais.
I'd like a fork.	J'aimerais une fourchette.
I'd rather read.	Je préfère lire.
I'd rather stay.	Je préférerais rester.
